                              Electron density <n>  0.0848205
                          Double occupancy <n+ n->  0.0071848
                            ZZ AF Structure Factor  0.0704508
                            Sq.Magnetization <m^2>  0.0704508
                                              Hkin -2.5573922
                                              Hint  0.1436964
                                                 E -2.4136958
                                  Average sign <s> -0.0677083
