                              Electron density <n>  0.1822846
                          Double occupancy <n+ n->  0.0132796
                            ZZ AF Structure Factor  0.1557254
                            Sq.Magnetization <m^2>  0.1557254
                                              Hkin -5.4674657
                                              Hint  0.2655919
                                                 E -5.2018738
                                  Average sign <s> -0.0416667
