Configuration weight     Weight sign              
314.183                  1                        
308.993                  1                        
307.716                  1                        
303.237                  1                        
300.317                  1                        
300.626                  1                        
297.159                  1                        
294.014                  1                        
292.675                  1                        
291.442                  1                        
292.905                  1                        
291.506                  1                        
293.6                    1                        
293.764                  1                        
290.867                  1                        
291.332                  1                        
292.246                  1                        
294.582                  1                        
293.748                  1                        
294.077                  1                        
294.119                  1                        
296.62                   1                        
297.021                  1                        
297.072                  1                        
297.085                  1                        
300.633                  1                        
300.971                  1                        
301.862                  1                        
300.343                  1                        
298.577                  1                        
295.699                  1                        
297.811                  1                        
297.707                  1                        
297.159                  1                        
297.776                  1                        
299.843                  1                        
298.766                  1                        
297.271                  1                        
296.462                  1                        
296.579                  1                        
298.69                   1                        
297.724                  1                        
300.602                  1                        
305.744                  1                        
306.542                  1                        
302.752                  1                        
300.429                  1                        
302.736                  1                        
300.88                   1                        
301.601                  1                        
301.896                  1                        
302.939                  1                        
303.16                   1                        
303.355                  1                        
303.215                  1                        
301.337                  1                        
303.113                  1                        
303.699                  1                        
301.173                  1                        
303.405                  1                        
299.122                  1                        
296.251                  1                        
295.822                  1                        
291.005                  1                        
291.65                   1                        
294.192                  1                        
288.236                  1                        
288.146                  1                        
289.281                  1                        
286.047                  1                        
288.334                  1                        
287.93                   1                        
285.806                  1                        
287.057                  1                        
285.601                  1                        
282.614                  1                        
284.159                  1                        
286.433                  1                        
287.165                  1                        
284.751                  1                        
289.003                  1                        
290.534                  1                        
288.197                  1                        
287.394                  1                        
290.183                  1                        
292.34                   1                        
291.071                  1                        
289.682                  1                        
285.205                  1                        
284.241                  1                        
282.532                  1                        
281.401                  1                        
281.266                  1                        
286.311                  1                        
281.934                  1                        
280.174                  1                        
282.504                  1                        
279.223                  1                        
278.972                  1                        
280.113                  1                        
280.267                  1                        
282.108                  1                        
282.588                  1                        
284.428                  1                        
287.761                  1                        
289.94                   1                        
291.253                  1                        
291.305                  1                        
293.51                   1                        
298.528                  1                        
