# d int_0^beta dt <Sz_i (t) Sz_j (0) >
8.597247390999999961e-02 8.838809106000000693e-02 9.030610360000000669e-02 9.186137648000000655e-02 9.266932420000000004e-02 9.202983369999999386e-02 9.105745298999999571e-02 8.991575441000000668e-02
9.096471311999999865e-02 8.534064472999999817e-02 8.916036792999999794e-02 9.139104489999999581e-02 9.239602201999999598e-02 9.321738688000000272e-02 9.135321401000000285e-02 9.241241730999999460e-02
9.068714296999999536e-02 8.891294514000000482e-02 8.339577780000000107e-02 8.743233219000000334e-02 9.106528868999999582e-02 9.074129437000000298e-02 9.062354473000000521e-02 9.024387134000000366e-02
9.432735261999999898e-02 9.419517263000000418e-02 9.139258510000000668e-02 8.676868979000000592e-02 9.203707973999999958e-02 9.435324210999999905e-02 9.411020347000000064e-02 9.488692328999999426e-02
9.653546697999999815e-02 9.551298723999999962e-02 9.348987594999999540e-02 9.126936100999999413e-02 8.802899308000000644e-02 9.285443416999999977e-02 9.401580954999999573e-02 9.482745211000000174e-02
9.418822335000000268e-02 9.474006264999999816e-02 9.242557496999999345e-02 9.242361714999999811e-02 9.111376058999999528e-02 8.759974504999999689e-02 9.118164429000000237e-02 9.350265535000000516e-02
9.286061024000000219e-02 9.232812031999999836e-02 9.347021620999999836e-02 9.324672096000000132e-02 9.284912185999999457e-02 9.134860687000000146e-02 8.657946621999999814e-02 9.197711228999999600e-02
8.974188921999999569e-02 8.998202445000000327e-02 8.969003974000000490e-02 9.136139511999999407e-02 9.063511082000000330e-02 9.111498010000000647e-02 8.828698856000000150e-02 8.588563154999999394e-02
