Configuration weight     Weight sign              
792.477                  1                        
787.229                  1                        
785.192                  1                        
793.861                  1                        
785.878                  1                        
790.638                  1                        
781.94                   1                        
776.034                  1                        
782.539                  1                        
786.042                  1                        
788.547                  1                        
780.439                  1                        
779.081                  1                        
784.384                  1                        
774.486                  1                        
764.595                  1                        
769.617                  1                        
776.369                  1                        
773.133                  1                        
768.767                  1                        
763.004                  1                        
765.085                  1                        
766.167                  1                        
760.885                  1                        
768.183                  1                        
774.595                  1                        
785.173                  1                        
788.479                  1                        
791.023                  1                        
791.321                  1                        
788.947                  1                        
791.037                  1                        
795.779                  1                        
793.695                  1                        
792.22                   1                        
794.151                  1                        
806.675                  1                        
807.792                  1                        
807.214                  1                        
799.218                  1                        
808.2                    1                        
819.044                  1                        
818.967                  1                        
815.914                  1                        
814.719                  1                        
809.263                  1                        
809.835                  1                        
810.649                  1                        
806.32                   1                        
804.087                  1                        
795.757                  1                        
797.825                  1                        
787.968                  1                        
783.572                  1                        
783.891                  1                        
784.806                  1                        
788.883                  1                        
780.613                  1                        
780.106                  1                        
781.645                  1                        
788.414                  1                        
776.828                  1                        
776.12                   1                        
782.657                  1                        
778.865                  1                        
779.759                  1                        
782.033                  1                        
785.453                  1                        
792.739                  1                        
795.78                   1                        
793.897                  1                        
794.492                  1                        
798.683                  1                        
792.826                  1                        
791.258                  1                        
781.569                  1                        
773.379                  1                        
772.118                  1                        
760.428                  1                        
762.39                   1                        
768.2                    1                        
773.801                  1                        
773.67                   1                        
766.558                  1                        
766.754                  1                        
771.057                  1                        
773.995                  1                        
774.422                  1                        
776.386                  1                        
782.583                  1                        
780.864                  1                        
784.301                  1                        
786.718                  1                        
791.214                  1                        
795.146                  1                        
799.043                  1                        
792.93                   1                        
792.75                   1                        
791.491                  1                        
793.844                  1                        
795.357                  1                        
801.49                   1                        
795.502                  1                        
799.897                  1                        
808.285                  1                        
808.659                  1                        
807.313                  1                        
805.809                  1                        
800.974                  1                        
797.236                  1                        
791.732                  1                        
798.683                  1                        
800.069                  1                        
793.034                  1                        
796.203                  1                        
805.399                  1                        
812.622                  1                        
803.297                  1                        
810.469                  1                        
806.439                  1                        
804.155                  1                        
806.273                  1                        
808.967                  1                        
814.922                  1                        
812.673                  1                        
804.911                  1                        
811.474                  1                        
815.245                  1                        
816.238                  1                        
810.539                  1                        
817.769                  1                        
825.206                  1                        
830.696                  1                        
827.985                  1                        
833.688                  1                        
838.739                  1                        
835.111                  1                        
832.333                  1                        
824.144                  1                        
825.449                  1                        
824.516                  1                        
824.249                  1                        
831.923                  1                        
838.241                  1                        
837.66                   1                        
829.681                  1                        
831.946                  1                        
831.534                  1                        
826.091                  1                        
822.522                  1                        
823.863                  1                        
811.961                  1                        
819.053                  1                        
830.511                  1                        
821.297                  1                        
816.842                  1                        
820.303                  1                        
822.326                  1                        
830.5                    1                        
829.423                  1                        
832.203                  1                        
834.49                   1                        
827.713                  1                        
826.816                  1                        
818.513                  1                        
823.422                  1                        
816.465                  1                        
810.676                  1                        
817.157                  1                        
826.829                  1                        
826.581                  1                        
819.372                  1                        
817.875                  1                        
822.275                  1                        
828.02                   1                        
822.322                  1                        
816.39                   1                        
811.34                   1                        
808.735                  1                        
809.581                  1                        
809.327                  1                        
813.163                  1                        
800.611                  1                        
797.628                  1                        
793.072                  1                        
781.373                  1                        
783.937                  1                        
789.755                  1                        
784.841                  1                        
786.184                  1                        
782.706                  1                        
785.873                  1                        
790.382                  1                        
799.132                  1                        
798.577                  1                        
800.851                  1                        
805.785                  1                        
815.93                   1                        
812.432                  1                        
811.994                  1                        
805.127                  1                        
797.455                  1                        
800.224                  1                        
809.966                  1                        
815.504                  1                        
819.248                  1                        
812.36                   1                        
818.686                  1                        
818.027                  1                        
811.257                  1                        
814.608                  1                        
806.493                  1                        
811.107                  1                        
809.25                   1                        
805.523                  1                        
808.658                  1                        
808.37                   1                        
808.811                  1                        
806.868                  1                        
809.274                  1                        
805.564                  1                        
792.438                  1                        
798.889                  1                        
795.737                  1                        
795.968                  1                        
794.114                  1                        
801.1                    1                        
800.845                  1                        
800.691                  1                        
805.503                  1                        
803.451                  1                        
797.89                   1                        
798.158                  1                        
808.788                  1                        
814.643                  1                        
816.255                  1                        
800.964                  1                        
805.373                  1                        
803.076                  1                        
802.524                  1                        
801.172                  1                        
796.706                  1                        
796.004                  1                        
804.468                  1                        
811.922                  1                        
818.265                  1                        
811.759                  1                        
812.948                  1                        
812.281                  1                        
809.277                  1                        
803.046                  1                        
801.34                   1                        
801.598                  1                        
795.456                  1                        
791.309                  1                        
790.189                  1                        
780.158                  1                        
782.497                  1                        
782.187                  1                        
781.285                  1                        
776.989                  1                        
772.205                  1                        
772.533                  1                        
773.448                  1                        
780.122                  1                        
775.987                  1                        
788.388                  1                        
785.043                  1                        
787.305                  1                        
785.478                  1                        
784.66                   1                        
783.928                  1                        
781.972                  1                        
782.152                  1                        
788.066                  1                        
782.264                  1                        
777.542                  1                        
774.416                  1                        
780.227                  1                        
772.869                  1                        
773.073                  1                        
779.743                  1                        
775.165                  1                        
783.565                  1                        
789.066                  1                        
782.709                  1                        
781.706                  1                        
777.589                  1                        
770.788                  1                        
764.923                  1                        
765.836                  1                        
774.101                  1                        
764.577                  1                        
768.859                  1                        
770.163                  1                        
773.66                   1                        
782.868                  1                        
789.781                  1                        
784.535                  1                        
780.557                  1                        
774.325                  1                        
767.172                  1                        
775.775                  1                        
787.294                  1                        
783.534                  1                        
793.202                  1                        
792.089                  1                        
793.237                  1                        
794.648                  1                        
792.248                  1                        
798.904                  1                        
801.058                  1                        
787.867                  1                        
792.02                   1                        
793.443                  1                        
791.226                  1                        
791.442                  1                        
794.304                  1                        
792.342                  1                        
797.729                  1                        
798.508                  1                        
805.06                   1                        
813.811                  1                        
806.367                  1                        
801                      1                        
796.205                  1                        
802.199                  1                        
801.018                  1                        
791.683                  1                        
791.854                  1                        
792.574                  1                        
797.623                  1                        
796.203                  1                        
804.933                  1                        
807.173                  1                        
805.357                  1                        
802.051                  1                        
806.752                  1                        
815.809                  1                        
820.125                  1                        
815.059                  1                        
822.006                  1                        
818.327                  1                        
814.177                  1                        
812.399                  1                        
803.978                  1                        
800.153                  1                        
813.65                   1                        
814.118                  1                        
811.473                  1                        
815.266                  1                        
821.274                  1                        
824.525                  1                        
824.414                  1                        
818.597                  1                        
823.215                  1                        
827.612                  1                        
815.649                  1                        
818.14                   1                        
817.958                  1                        
829.982                  1                        
834.531                  1                        
835.207                  1                        
834.219                  1                        
822.683                  1                        
816.947                  1                        
825.197                  1                        
823.934                  1                        
825.833                  1                        
818.834                  1                        
819.628                  1                        
826.373                  1                        
820.258                  1                        
840.255                  1                        
837.851                  1                        
849.032                  1                        
853.059                  1                        
848.538                  1                        
846.962                  1                        
849.708                  1                        
857.174                  1                        
846.044                  1                        
842.591                  1                        
844.333                  1                        
846.893                  1                        
843.517                  1                        
836.696                  1                        
842.628                  1                        
851.42                   1                        
850.463                  1                        
862.065                  1                        
867.151                  1                        
862.018                  1                        
855.009                  1                        
