                              Electron density <n> 1377150361000000.0000000
                          Double occupancy <n+ n-> 130659675100000.0000000
                            ZZ AF Structure Factor 1115831011000000.0000000
                            Sq.Magnetization <m^2> 1115831011000000.0000000
                                              Hkin -43894330520000000.0000000
                                              Hint 2090554801000000.0000000
                                                 E -41803775720000000.0000000
                                  Average sign <s>  0.0000000
