Configuration log weight                          
-0.228219                                         
0.760047                                          
-0.0314143                                        
0.114128                                          
0.074037                                          
0.263286                                          
2.31344                                           
1.30308                                           
2.17957                                           
1.39671                                           
1.76796                                           
1.11345                                           
0.751742                                          
1.90833                                           
0.439572                                          
-0.862028                                         
-0.331945                                         
0.309204                                          
0.0963526                                         
0.837442                                          
1.75648                                           
1.46602                                           
0.283245                                          
-0.551893                                         
-1.72628                                          
-1.29044                                          
-0.671564                                         
-0.473092                                         
0.484319                                          
0.264367                                          
0.408291                                          
-0.299456                                         
-1.563                                            
0.00450915                                        
-0.957629                                         
-1.57138                                          
-1.08317                                          
-1.39313                                          
-0.550994                                         
-1.09388                                          
-1.24889                                          
-1.16366                                          
-0.639731                                         
-1.85757                                          
-0.86268                                          
0.564432                                          
-0.384029                                         
-0.305783                                         
-1.14456                                          
-1.46004                                          
-1.13365                                          
-0.678997                                         
0.546184                                          
1.50757                                           
1.5976                                            
0.776879                                          
-0.264212                                         
0.327362                                          
-0.272681                                         
0.115146                                          
0.391568                                          
0.727971                                          
0.646574                                          
0.914022                                          
0.0735871                                         
0.188284                                          
-1.16979                                          
-1.45222                                          
-1.40011                                          
-1.11011                                          
0.157951                                          
-0.601849                                         
-0.31444                                          
-0.493976                                         
0.0318637                                         
-1.65416                                          
-1.16439                                          
0.0805076                                         
-0.359083                                         
0.59261                                           
0.0283412                                         
-0.0379366                                        
-0.465191                                         
-1.24506                                          
-0.439375                                         
0.0786382                                         
-1.04691                                          
-0.454373                                         
-1.48114                                          
-1.06312                                          
-1.82176                                          
-1.19355                                          
-1.13447                                          
-0.687235                                         
-1.71557                                          
-0.973648                                         
-1.15562                                          
-0.302439                                         
-2.12504                                          
-2.33901                                          
-2.83515                                          
-1.93224                                          
-0.583222                                         
-1.05098                                          
-0.556598                                         
-1.74263                                          
-0.700547                                         
-2.44094                                          
-2.66965                                          
-2.4511                                           
-2.21534                                          
-2.49554                                          
-1.49886                                          
-0.620739                                         
-1.05363                                          
-2.09104                                          
-1.11329                                          
-0.0686666                                        
-1.35806                                          
-0.767523                                         
-1.68815                                          
-0.578206                                         
-1.06274                                          
-0.898891                                         
-0.795744                                         
-0.174158                                         
-1.05602                                          
-1.19683                                          
-1.20966                                          
0.244731                                          
-1.14091                                          
-1.81088                                          
-2.96245                                          
-2.00252                                          
-1.5245                                           
-1.74616                                          
-1.09309                                          
-1.13453                                          
-0.361841                                         
-2.28433                                          
-1.98834                                          
-2.83576                                          
-2.04672                                          
-2.85555                                          
-1.96544                                          
-0.860351                                         
-2.22069                                          
-3.09574                                          
-1.92972                                          
-1.50633                                          
-1.82389                                          
-1.92577                                          
-1.90787                                          
-1.62968                                          
-1.84324                                          
-2.48973                                          
-1.64928                                          
-0.864027                                         
-1.75075                                          
-1.98604                                          
-1.79586                                          
-0.555902                                         
-1.9137                                           
-1.2833                                           
-2.93596                                          
-2.61919                                          
-1.73477                                          
-2.02727                                          
-2.08696                                          
-1.39829                                          
-0.857077                                         
-1.70748                                          
