                              Electron density <n>  1.0000000
                          Double occupancy <n+ n->  0.1245434
                            ZZ AF Structure Factor 12.0345590
                            Sq.Magnetization <m^2>  0.7509132
                                              Hkin -1.3664308
                                              Hint  0.4981737
                                                 E -0.8682571
                                  Average sign <s>  1.0000000
